地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,crop_px,valid_px,crop_ratio,crop_pct
三亚市,460200,不统计,0,不统计,三亚市,460200,地级市,海南省,460000,省,,,Haitang,Hǎi Táng,460200,NULL,NULL,0,NULL,Sanya,Sān Yà,460200,Prefecture City,Hainan,Hǎi Nán,460000,Province,2010,411195,2227489,0.1846002382054412,18.46
陵水黎族自治县,469028,陵水黎族自治县,469028,自治县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Lingshuilizu,Líng Shuǐ Lí Zú,469028,Lingshuilizu,LíngShuǐLíZú,469028,Autonomous County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,310106,1280419,0.24219103277911372,24.22
乐东黎族自治县,469027,乐东黎族自治县,469027,自治县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Ledonglizu,Lè Dōng Lí Zú,469027,Ledonglizu,Lè DōngLíZú,469027,Autonomous County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,869415,3247783,0.26769491680940505,26.77
万宁市,469006,万宁市,469006,县级市,不统计,0,不统计,海南省,460000,省,,"省直辖市,省直管,是县级单位",Wanning,Wàn Níng,469006,Wanning,Wàn Níng,469006,County City,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,408313,2218794,0.1840247449740715,18.4
东方市,469007,东方市,469007,县级市,不统计,0,不统计,海南省,460000,省,,"省直辖市,省直管,是县级单位",Dongfang,Dōng Fāng,469007,Dongfang,DōngFāng,469007,County City,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,1051023,2655817,0.3957437579471778,39.57
琼海市,469002,琼海市,469002,县级市,不统计,0,不统计,海南省,460000,省,,"省直辖市,省直管,是县级单位",Qionghai,Qióng Hǎi,469002,Qionghai,QióngHǎi,469002,County City,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,458610,1994880,0.22989352743022137,22.99
昌江黎族自治县,469026,昌江黎族自治县,469026,自治县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Changjianglizu,Chāng Jiāng Lí Zú,469026,Changjianglizu,ChāngJiāngLíZú,469026,Autonomous County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,626341,1882347,0.3327447064754798,33.27
定安县,469021,定安县,469021,县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Dingan,Dìng Ān,469021,Dingan,DìngĀn,469021,County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,382130,1417638,0.2695540046189507,26.96
儋州市,469003,儋州市,469003,县级市,不统计,0,不统计,海南省,460000,省,,"省直辖市,省直管,是县级单位",Danzhou,Dān Zhōu,469003,Danzhou,Dān Zhōu,469003,County City,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,1346620,3849690,0.34979959425304374,34.98
澄迈县,469023,澄迈县,469023,县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Chengmai,Chéng Mài,469023,Chengmai,Chéng Mài,469023,County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,521232,2433746,0.21416861085750116,21.42
琼山区,460107,琼山区,460107,市辖区,海口市,460100,地级市,海南省,460000,省,琼山市,2002年撤销琼山市，设立琼山区,Qiongshan,Qióng Shān,460107,Qiongshan,QióngShān,460107,District,Haikou,Hǎi Kǒu,460100,Prefecture City,Hainan,Hǎi Nán,460000,Province,2010,283325,1103428,0.2567679993619883,25.68
文昌市,469005,文昌市,469005,县级市,不统计,0,不统计,海南省,460000,省,,"省直辖市,省直管,是县级单位",Wenchang,Wén Chāng,469005,Wenchang,WénChāng,469005,County City,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,1219004,2800361,0.43530244850574623,43.53
临高县,469024,临高县,469024,县,不统计,0,不统计,海南省,460000,省,,"省直辖县,省直管,是县级单位",Lingao,Lín Gāo,469024,Lingao,LínGāo,469024,County,NULL,NULL,0,NULL,Hainan,Hǎi Nán,460000,Province,2010,601086,1540100,0.3902902408934485,39.03
龙华区,460106,龙华区,460106,市辖区,海口市,460100,地级市,海南省,460000,省,新华区,2002年撤销新华区，设立龙华区,Longhua,Lóng Huá,460106,Longhua,Lóng Huá,460106,District,Haikou,Hǎi Kǒu,460100,Prefecture City,Hainan,Hǎi Nán,460000,Province,2010,84740,356527,0.2376818585969646,23.77
